string,y
01101111111001000001,4.180046276246022
01100111101010110110,5.880489622653652
01011111010111101001,6.0516507444281755
10101000001100011010,5.040929499664095
01011111101100100110,4.958091800719218
10010001101000001010,5.039710623644978
11111011110110010000,3.0499646955111968
11001011110001011101,4.87813161700228
00101100101010101000,7.024622276127643
10101000001001000100,4.908201569399538
10100110001100000101,4.934814350006941
00011100111100011010,3.822525518481135
01011110001110111100,3.952663907449752
11000110111110001010,3.979642932852652
11000100111101000011,4.054985686729639
10100111111001111111,3.0000899926671107
11100001110111111100,1.8457711849200322
00110100101010000111,6.086214805688427
01010000111010011101,5.988141337644991
10101100110111111001,5.048837059042966
01001111101110011011,5.09659361184597
10001000000111001110,3.1422604748969034
10101110100101001000,6.1961226989365015
00000010110111001111,3.992776124132833
01010000111110101010,6.031112444609366
11000111001001000101,4.892163890918322
01011001010100001101,7.106160017003526
01101000001100001100,3.881511255542823
10111111111110011110,1.819474831136958
01001010100100000101,7.0830386005340396
00111100101111001001,4.947830347505218
11000110100011010100,5.077760728134224
10000011111111000011,2.040807464934617
11010011101110111110,3.836999734897629
01000101010110100010,6.728032063567738
10110110111110011110,3.890339825290728
10010101101101000010,6.001649148698086
01000101000011100110,4.8778223665305225
11011010110000110011,4.934723855065129
00010100100011000100,4.854105926940267
10100110011100000100,4.016987795979692
00011111001111111100,2.0090825927036327
01111001011111000010,3.951860737595237
00011111010011111001,4.139706530131375
00111001100011010101,6.149771502731956
11100011110000001101,3.056526720253645
00101000010011001010,5.820022881853325
10111010110001100000,3.889530985279439
01000010001101000100,5.040713033108325
01110010110000000010,3.937144241975541
10100010110001011101,5.951290856828818
00000100011010101101,6.089896739458806
01001000101000100111,6.051087482189242
01011111001010011000,5.131415443381395
11000000111111110000,0.9570790703353522
00010101011011010001,7.13752254204469
10010010110011100100,4.944586875291551
11000011110010010001,4.149949149013876
01101100000111011010,5.010583464361678
00011111010111110011,3.913949025289039
00111100000011000011,2.8368780492346466
00101100110100110010,5.969852768513831
00111011001111011001,4.974376730200456
11110010101101111110,4.085766191012246
01100001100001000111,3.9889409497191792
01101011001101000111,5.956756802142156
11010010100011110110,5.107703747294754
01010101011111101010,6.977517343872985
10101000101111010101,6.94237581837731
10111111110101000110,4.057460891729257
11010010111101110011,4.951017178115273
11101001010010111111,5.065880214169152
00100101101111010100,5.94030828882168
10110000101001010011,5.977704081702962
11111010010010100100,5.0152176975588265
11001011011010001000,4.962587367973569
01101110111110110000,3.998654853064261
11111010001100000010,3.081547196924006
00001010010111111010,5.041060179132005
01110110101010110110,7.048096985003462
01011001010111111100,4.936456956138073
01000011011111010100,5.085282976827437
10100101010011010001,7.066956234050909
11000101111100001110,3.1004419192261623
01000101010011101010,6.92736341678139
00101000010010110011,5.9827541403318545
11111101001100111100,3.06335339024604
00000111100100001111,2.939118488258287
01010100000000011111,3.9773877530236046
01101101100001110101,6.1925805737459525
01100011000010011010,5.195176101226782
11010011011101101000,5.123994054982736
01000100000000000011,3.0938585136249768
01110110111101011111,4.898074885049487
00010100010101111111,5.051256223142612
11101001011010000111,4.9640883404934115
01000000111001110110,3.894142810239463
01100001111100101111,3.949099416140868
01110100100110101110,6.011566507404635
00101101010110010111,6.945264442570133
11000100010001011010,4.944920057429316
10010101111100100111,5.0792041498422975
10010010010001101010,6.014410648512323
10010011000110000100,4.023345807966232
11110011000111000110,3.01118723968963
01110010100010101111,5.932429685662835
10011101010100111100,4.862942808203931
00001000101001001100,5.031056471042048
11110010110110010000,3.9492963367874556
00101110011110101001,5.798921773141412
11100000101001001010,4.960743274203485
10011000001101100010,3.8907782058659377
11111111101111000011,2.0698650234307756
10100100110010001000,5.052162522724034
10101111010110001101,6.049689314483847
10000110111111011101,3.9334958381841307
11110110011101010001,5.073155158186215
11110111011101101011,5.0319649783134075
00111110101110110011,4.959014546156018
11001000001101000001,3.9546662567861484
11111101101010101011,6.08927081528737
00111000000101000101,4.952639594303634
10001100011000111010,4.030365647352628
10110101001110010100,6.103395698681278
10001001011011111000,4.190934262555711
11011101111111101100,3.166387312443773
01110001011010101010,7.090082276420903
01101000100110110100,5.849408864842861
00000010101000101011,5.931095157058203
01000000001101110111,3.9451912812527463
00100100011011001011,6.165314983256532
10001111001100111110,2.9300682059027907
11111011001001101101,5.038616637709837
01000101111010101111,6.0100867063257315
11110111000011101101,3.9064872790562455
01100101101010010001,7.038182400961938
10000011010001110001,4.039829608619749
11101001111100110100,3.8744225118258497
00101111110001010010,5.122287744705341
